ID,name,lat,long,address_1,address_2,address_3,county
1,Alibi,54.588441,-5.935626,1/2 Courthouse Street And 1/2 James Street,,Cork,Co. Cork
2,Anchor Bar,54.252138,-5.641258,Courtmacsherry,Timoleague,,Co. Cork
3,Anchor Bar,54.252138,-5.641258,Main Street,Caherciveen,,Co. Kerry
4,Anchor Bar,54.714657,-6.218457,Courtmacsherry,Timoleague,,Co. Cork
5,Anchor Bar,54.714657,-6.218457,Main Street,Caherciveen,,Co. Kerry
6,Castle Inn,54.294766,-5.716782,4 Long Mile Road And Premises Attached At No. 2 Long Mile Road,,,Dublin City
7,Central Bar,54.646725,-7.169571,63 And 64 Upper Cork Street,Mitchelstown,,Co. Cork
8,Central Bar,54.646725,-7.169571,Main Street,Lifford,,Co. Donegal
9,Central Bar,54.646725,-7.169571,58 Upper Main Street,Letterkenny,,Co. Donegal
10,Central Bar,54.646725,-7.169571,Davis Street,Athenry,,Co. Galway
11,Central Bar,54.646725,-7.169571,Main Street,Elphin,,Co. Roscommon
12,Central Bar,54.400548,-5.649872,63 And 64 Upper Cork Street,Mitchelstown,,Co. Cork
13,Central Bar,54.400548,-5.649872,Main Street,Lifford,,Co. Donegal
14,Central Bar,54.400548,-5.649872,58 Upper Main Street,Letterkenny,,Co. Donegal
15,Central Bar,54.400548,-5.649872,Davis Street,Athenry,,Co. Galway
16,Central Bar,54.400548,-5.649872,Main Street,Elphin,,Co. Roscommon
17,Central Bar,54.47221,-7.63319,63 And 64 Upper Cork Street,Mitchelstown,,Co. Cork
18,Central Bar,54.47221,-7.63319,Main Street,Lifford,,Co. Donegal
19,Central Bar,54.47221,-7.63319,58 Upper Main Street,Letterkenny,,Co. Donegal
20,Central Bar,54.47221,-7.63319,Davis Street,Athenry,,Co. Galway
21,Central Bar,54.47221,-7.63319,Main Street,Elphin,,Co. Roscommon
22,Central Bar,54.540757,-6.701263,63 And 64 Upper Cork Street,Mitchelstown,,Co. Cork
23,Central Bar,54.540757,-6.701263,Main Street,Lifford,,Co. Donegal
24,Central Bar,54.540757,-6.701263,58 Upper Main Street,Letterkenny,,Co. Donegal
25,Central Bar,54.540757,-6.701263,Davis Street,Athenry,,Co. Galway
26,Central Bar,54.540757,-6.701263,Main Street,Elphin,,Co. Roscommon
27,Conways Bar,54.718043,-7.377725,Castle Street,Ramelton,,Co. Donegal
28,Corner House,54.100703,-6.197646,Corner House,Main Street,Claremorris,Co. Mayo
29,Corner House,54.100703,-6.197646,45 Jkl Street,Edenderry,,Co. Offaly
30,Corner House Bar,54.749842,-6.319282,Tallow,,,Co. Waterford
31,Crown Bar,54.595288,-5.934027,Castle Street,Manorhamilton,,Co. Leitrim
32,Daly's Bar,54.503973,-6.772315,Main Street,Kilmihil,,Co. Clare
33,Dan's Bar,54.600872,-5.961291,Northgate Street,Athenry,,Co. Galway
34,Eugene's Bar,54.293643,-7.464637,33 Shandon Street,Cork,,Co. Cork
35,Fairgreen Bar,54.615682,-7.489513,85/86 Trinity Street And 1 Georges Street,Drogheda,,Co. Louth
36,Fitzgeralds,54.611604,-5.932952,Buckfield,Caraholly,,Co. Mayo
37,Fitzgeralds,54.611604,-5.932952,22 Aston Quay,Formerly Known As 26 Aston Quay,,Dublin City
38,Garvey's Bar,54.080518,-6.509785,Ballintubber,Castlerea,,Co. Roscommon
39,Grant's Bar,54.162459,-6.235888,19 Upper Main Street,"Buncrana, Lifford",,Co. Donegal
40,Halfway House,54.921486,-6.104025,Islandeady,Castlebar,,Co. Mayo
41,Halfway House,54.548737,-7.286738,Islandeady,Castlebar,,Co. Mayo
42,Hawthorn Bar,54.596498,-5.958214,Main Street,Ballyduff,,Co. Kerry
43,Hawthorn Bar,54.596498,-5.958214,Kilmalogue,Portarlington,,Co. Laois
44,Hillside Tavern,55.200207,-6.253054,Killeshandra,,,Co. Cavan
45,Horseshoe Bar,54.210833,-6.110182,14 William Street,Listowel,,Co. Kerry
46,Kellys,54.37773132,-7.460741997,Clarinbridge,,,Co. Galway
47,Kellys,54.37773132,-7.460741997,William Street,Tullamore,,Co. Offaly
48,Kellys,54.37773132,-7.460741997,Green Street,Birr,,Co. Offaly
49,Mac's Bar,54.195073,-6.143111,Bunratty Folk Park,Bunratty,,Co. Clare
50,Mac's Bar,54.195073,-6.143111,Corofin,,,Co. Clare
51,Mac's Bar,54.195073,-6.143111,Dunkineely,,,Co. Donegal
52,Mac's Bar,54.25448,-7.446165,Bunratty Folk Park,Bunratty,,Co. Clare
53,Mac's Bar,54.25448,-7.446165,Corofin,,,Co. Clare
54,Mac's Bar,54.25448,-7.446165,Dunkineely,,,Co. Donegal
55,Maddens,54.600011,-5.932828,Clew Bay Hotel,James Street,Westport,Co. Mayo
56,Mckennas Bar,54.664386,-6.272193,Corgreagh,Cootehill,,Co. Cavan
57,Mclaughlin's Bar,54.61387,-5.936181,Main Street,Ballybofey,,Co. Donegal
58,Mclaughlin's Bar,54.61387,-5.936181,Main Street,Dunkineely,,Co. Donegal
59,Mollys,54.101639,-6.253776,High Street,Kilfinane,,Co. Limerick
60,Murtagh's,54.077897,-6.609789,Junction Of Fairgreen Street And New Row,South Main Street,Naas,Co. Kildare
61,O'briens,54.951547,-6.555887,Ground Floor,13 Castle Street,Dalkey,Co. Dublin
62,O'briens,54.951547,-6.555887,Unit 3 Newpark Centre,Newtownpark Avenue,Blackrock,Co. Dublin
