name,lat,long,region,address 1,address 2,address 3,county
Alibi,54.588441,-5.935626,northireland,1/2 COURTHOUSE STREET AND 1/2 JAMES STREET,,CORK,CO. CORK
Anchor Bar,54.252138,-5.641258,northireland,COURTMACSHERRY,TIMOLEAGUE,,CO. CORK
Anchor Bar,54.252138,-5.641258,northireland,MAIN STREET,CAHERCIVEEN,,CO. KERRY
Anchor Bar,54.714657,-6.218457,northireland,COURTMACSHERRY,TIMOLEAGUE,,CO. CORK
Anchor Bar,54.714657,-6.218457,northireland,MAIN STREET,CAHERCIVEEN,,CO. KERRY
Castle Inn,54.294766,-5.716782,northireland,4 LONG MILE ROAD AND PREMISES ATTACHED AT NO. 2 LONG MILE ROAD,,,DUBLIN CITY
Central Bar,54.646725,-7.169571,northireland,63 AND 64 UPPER CORK STREET,MITCHELSTOWN,,CO. CORK
Central Bar,54.646725,-7.169571,northireland,MAIN STREET,LIFFORD,,CO. DONEGAL
Central Bar,54.646725,-7.169571,northireland,58 UPPER MAIN STREET,LETTERKENNY,,CO. DONEGAL
Central Bar,54.646725,-7.169571,northireland,DAVIS STREET,ATHENRY,,CO. GALWAY
Central Bar,54.646725,-7.169571,northireland,MAIN STREET,ELPHIN,,CO. ROSCOMMON
Central Bar,54.400548,-5.649872,northireland,63 AND 64 UPPER CORK STREET,MITCHELSTOWN,,CO. CORK
Central Bar,54.400548,-5.649872,northireland,MAIN STREET,LIFFORD,,CO. DONEGAL
Central Bar,54.400548,-5.649872,northireland,58 UPPER MAIN STREET,LETTERKENNY,,CO. DONEGAL
Central Bar,54.400548,-5.649872,northireland,DAVIS STREET,ATHENRY,,CO. GALWAY
Central Bar,54.400548,-5.649872,northireland,MAIN STREET,ELPHIN,,CO. ROSCOMMON
Central Bar,54.47221,-7.63319,northireland,63 AND 64 UPPER CORK STREET,MITCHELSTOWN,,CO. CORK
Central Bar,54.47221,-7.63319,northireland,MAIN STREET,LIFFORD,,CO. DONEGAL
Central Bar,54.47221,-7.63319,northireland,58 UPPER MAIN STREET,LETTERKENNY,,CO. DONEGAL
Central Bar,54.47221,-7.63319,northireland,DAVIS STREET,ATHENRY,,CO. GALWAY
Central Bar,54.47221,-7.63319,northireland,MAIN STREET,ELPHIN,,CO. ROSCOMMON
Central Bar,54.540757,-6.701263,northireland,63 AND 64 UPPER CORK STREET,MITCHELSTOWN,,CO. CORK
Central Bar,54.540757,-6.701263,northireland,MAIN STREET,LIFFORD,,CO. DONEGAL
Central Bar,54.540757,-6.701263,northireland,58 UPPER MAIN STREET,LETTERKENNY,,CO. DONEGAL
Central Bar,54.540757,-6.701263,northireland,DAVIS STREET,ATHENRY,,CO. GALWAY
Central Bar,54.540757,-6.701263,northireland,MAIN STREET,ELPHIN,,CO. ROSCOMMON
Conways Bar,54.718043,-7.377725,northireland,CASTLE STREET,RAMELTON,,CO. DONEGAL
Corner House,54.100703,-6.197646,northireland,CORNER HOUSE,MAIN STREET,CLAREMORRIS,CO. MAYO
Corner House,54.100703,-6.197646,northireland,45 JKL STREET,EDENDERRY,,CO. OFFALY
Corner House Bar,54.749842,-6.319282,northireland,TALLOW,,,CO. WATERFORD
Crown Bar,54.595288,-5.934027,northireland,CASTLE STREET,MANORHAMILTON,,CO. LEITRIM
Daly's Bar,54.503973,-6.772315,northireland,MAIN STREET,KILMIHIL,,CO. CLARE
Dan's Bar,54.600872,-5.961291,northireland,NORTHGATE STREET,ATHENRY,,CO. GALWAY
Eugene's Bar,54.293643,-7.464637,northireland,33 SHANDON STREET,CORK,,CO. CORK
Fairgreen Bar,54.615682,-7.489513,northireland,85/86 TRINITY STREET AND 1 GEORGES STREET,DROGHEDA,,CO. LOUTH
Fitzgeralds,54.611604,-5.932952,northireland,BUCKFIELD,CARAHOLLY,,CO. MAYO
Fitzgeralds,54.611604,-5.932952,northireland,22 ASTON QUAY,FORMERLY KNOWN AS 26 ASTON QUAY,,DUBLIN CITY
Garvey's Bar,54.080518,-6.509785,northireland,BALLINTUBBER,CASTLEREA,,CO. ROSCOMMON
Grant's Bar,54.162459,-6.235888,northireland,19 UPPER MAIN STREET,"BUNCRANA, LIFFORD",,CO. DONEGAL
Halfway House,54.921486,-6.104025,northireland,ISLANDEADY,CASTLEBAR,,CO. MAYO
Halfway House,54.548737,-7.286738,northireland,ISLANDEADY,CASTLEBAR,,CO. MAYO
Hawthorn Bar,54.596498,-5.958214,northireland,MAIN STREET,BALLYDUFF,,CO. KERRY
Hawthorn Bar,54.596498,-5.958214,northireland,KILMALOGUE,PORTARLINGTON,,CO. LAOIS
Hillside Tavern,55.200207,-6.253054,northireland,KILLESHANDRA,,,CO. CAVAN
Horseshoe Bar,54.210833,-6.110182,northireland,14 WILLIAM STREET,LISTOWEL,,CO. KERRY
Kellys,54.37773132,-7.460741997,northireland,CLARINBRIDGE,,,CO. GALWAY
Kellys,54.37773132,-7.460741997,northireland,WILLIAM STREET,TULLAMORE,,CO. OFFALY
Kellys,54.37773132,-7.460741997,northireland,GREEN STREET,BIRR,,CO. OFFALY
Mac's Bar,54.195073,-6.143111,northireland,BUNRATTY FOLK PARK,BUNRATTY,,CO. CLARE
Mac's Bar,54.195073,-6.143111,northireland,COROFIN,,,CO. CLARE
Mac's Bar,54.195073,-6.143111,northireland,DUNKINEELY,,,CO. DONEGAL
Mac's Bar,54.25448,-7.446165,northireland,BUNRATTY FOLK PARK,BUNRATTY,,CO. CLARE
Mac's Bar,54.25448,-7.446165,northireland,COROFIN,,,CO. CLARE
Mac's Bar,54.25448,-7.446165,northireland,DUNKINEELY,,,CO. DONEGAL
Maddens,54.600011,-5.932828,northireland,CLEW BAY HOTEL,JAMES STREET,WESTPORT,CO. MAYO
Mckennas Bar,54.664386,-6.272193,northireland,CORGREAGH,COOTEHILL,,CO. CAVAN
Mclaughlin's Bar,54.61387,-5.936181,northireland,MAIN STREET,BALLYBOFEY,,CO. DONEGAL
Mclaughlin's Bar,54.61387,-5.936181,northireland,MAIN STREET,DUNKINEELY,,CO. DONEGAL
Mollys,54.101639,-6.253776,northireland,HIGH STREET,KILFINANE,,CO. LIMERICK
Murtagh's,54.077897,-6.609789,northireland,JUNCTION OF FAIRGREEN STREET AND NEW ROW,SOUTH MAIN STREET,NAAS,CO. KILDARE
