ID,name,long,lat,region
26,1st Ballyclare Linfield Supporters Club,-5.996057,54.751167,northireland
27,1st Newtownabbey Linfield Supporters Club,-5.921809,54.668028,northireland
28,21 Social/the Thirsty Goat Bar,-5.926958,54.601627,northireland
68,A J Quinn & Sons,-6.270926,54.348892,northireland
104,Abercorn Bar,-7.323095,54.99164,northireland
132,Academy Sports Club,-6.003354,54.678924,northireland
282,Alexandra Social And Recreation Club,-5.930472851,54.6186676,northireland
294,Alibi,-5.935626,54.588441,northireland
346,Alley Arts Centre,-7.464219,54.827339,northireland
416,Americana,-6.668615,54.690495,northireland
428,An Bosca Ceoil,-7.234812,54.717799,northireland
432,Anchor Bar,-5.641258,54.252138,northireland
433,Anchor Bar,-6.218457,54.714657,northireland
456,Anchor Inn & B & B,-7.722017,54.52686,northireland
465,Ancient Order Of Hibernians,-5.953088,54.597795,northireland
469,Andersonstown Social Club,-5.988546,54.575101,northireland
514,Angler's Arms,-7.660647,54.685579,northireland
532,Annie's Bar,-7.308727,54.598066,northireland
546,Antrim Arms,-6.5531,54.952215,northireland
547,Antrim Boat Club,-6.2456,54.724334,northireland
582,Arcade Bar,-6.924369,54.927007,northireland
595,Ardoyne Gac,-5.95722,54.613247,northireland
596,Ards Bowling Club,-5.696738,54.590464,northireland
597,Ards Football Club Social Club,-5.698323,54.5939,northireland
604,Argyle Arms,-7.326984,55.006627,northireland
609,Arkle Bar,-5.715366,54.328364,northireland
618,Armagh City Club,-6.651145,54.350265,northireland
619,Armagh Club,-6.653952,54.349066,northireland
620,Armagh Down Bar,-6.342141,54.177123,northireland
621,Armagh Harps Gfc,-6.65777,54.358398,northireland
622,Armagh Masonic Club,-6.647727,54.349922,northireland
623,Armagh Old Boys Band Hall,-6.649882,54.347035,northireland
740,Atlantic Bar & Atlantic Lounge,-6.654331,55.207505,northireland
747,Attical Gac,-6.063725,54.110393,northireland
822,Badgers Place,-7.31916,54.995229,northireland
875,Ballyclare Golf Club Bar,-6.030296,54.771224,northireland
876,Ballyclare Royal British Legion,-6.003139,54.748336,northireland
877,Ballyclare Rugby Football Club,-6.016481,54.758501,northireland
878,Ballyearl Squash & Social Club,-5.960295,54.701513,northireland
879,Ballyholland Harps Gac,-6.302469,54.160748,northireland
880,Ballyholme Yacht Club,-5.65381,54.666682,northireland
881,Ballymena Bowling Club,-6.281612,54.874913,northireland
882,Ballymena Golf Club,-6.229303,54.884313,northireland
883,Ballymena Masonic Hall,-6.279047,54.865641,northireland
884,Ballymena Rugby Football Club,-6.243805,54.8773,northireland
885,Ballymoney Rugby Club,-6.488805,55.073205,northireland
886,Ballymoney Utd Football And Social Club,-6.518072128,55.06840897,northireland
887,Ballymore Inn,-6.413622,54.353683,northireland
888,Ballynafeigh Apprentice Boys Club,-5.922415,54.576571,northireland
889,Balmoral Golf Club Ltd,-5.968686,54.565793,northireland
906,Bangor Civil Defence Club,-5.666068,54.665131,northireland
907,Bangor Engineers & Trades Social Club,-5.674382,54.661247,northireland
908,Bangor Ex-services Club,-5.664791,54.663623,northireland
909,Bangor Golf Club (bar),-5.655592,54.659968,northireland
